Sr No.	Status Bitbucket	Status Bamboo	Project Name	Bitbucket Group Name	Bitbucket Clone URL	Bamboo plan conversion on hold	Bamboo Group Name	Bamboo Link	Master Branch	Additional branches for migration	Comments	Repo_migration_Status	Repo_Mirroring_status
106			CyberTech.RecorderDatabase	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/cybertech.recorderdatabase/browse		CyberTech	http://bamboo.cssrd.local/browse/CYB-CYBRDB38-4/artifact	release-9.0			Done	Done
107			CoreLibraries.Alarming.Interface	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/corelibraries.alarming.interface/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-ALARMINT-39/artifact	release-1.0.0			Done	Done
108			Nice.Connector.Attivio	CS	http://bitbucket.cssrd.local/projects/CS/repos/nice.connector.attivio/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-NCA-22/artifact	MASTER	"release-1.8.0, release-2.3.0, release-3.1.0"		Done	Done
109			CoreLibraries.Wix	InternalTooling	http://bitbucket.cssrd.local/projects/IN/repos/corelibraries.wix/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-COR9-2/artifact	release-8.8			Done	Done
110			CS.InstallationPrerequisites	CS	http://bitbucket.cssrd.local/projects/CS/repos/cs.installationprerequisites/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-CSINP-3/artifact	MASTER			Done	Done
111			CoreLibraries	CoreLibraries	http://bitbucket.cssrd.local/projects/COR/repos/corelibraries/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CORLBR-46/artifact	REL-v10.10.0	Tag		Done	Done
112			Cybertech.Redundancy	Essentials Resilience	http://bitbucket.cssrd.local/projects/ER/repos/cybertech.redundancy/browse		NTR Resilience	http://bamboo.cssrd.local/browse/NR-CYBRED-41/artifact	MASTER		Released from master branch	Done	Done
											Getting 404 for Cybertech.Redundancy		
113			CyberTech.SystemManager	Compass	http://bitbucket.cssrd.local/projects/COM/repos/cybertech.systemmanager/browse		NTR	http://bamboo.cssrd.local/browse/NTR-CYBSSM18-1/artifact	release-1.15.0			Done	Done
114			SharedLibraries.Authorization	Compass	http://bitbucket.cssrd.local/projects/COM/repos/sharedlibraries.authorization/browse		Compass Reporting	http://bamboo.cssrd.local/browse/COM-SLA-8/artifact	MASTER	release-1.0.0		Done	Done
115			Supervision.Setup	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/cybertech.coreapi.communications/browse		API	http://bamboo.cssrd.local/browse/API-CYBCAC-32/artifact	MASTER	release-3.4		Done	Done
116			CoreLibraries.Encryption	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/corelibraries.encryption/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-ENC-38/artifact				Done	Done
117			Nice.HelperLibraries.SecureDelete	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/nice.helperlibraries.securedelete/browse		HelperProjects	http://bamboo.cssrd.local/browse/HEL-SECDEL-14/artifact	MASTER		Released from master branch	Done	Done
118			CoreLibraries.Audio.Converter	CoreLibraries	http://bitbucket.cssrd.local/projects/COR/repos/corelibraries.audio.converter/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CORACV-16/artifact				Done	Done
119			CoreLibraries.Audio.NMF	InternalTooling	http://bitbucket.cssrd.local/projects/IN/repos/corelibraries.audio.nmf/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CANMF-22/artifact	MASTER	release-1.10.0		Done	Done
120			CoreLibraries.Audio.Utils	CoreLibraries	http://bitbucket.cssrd.local/projects/COR/repos/corelibraries.audio.utils/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CORAUT-10/artifact			"id=""CoreLibraries.Audio.Utils"" version=""2.0.0"" : Nice.MediaSources.Files"	Done	Done
121			CoreLibraries.Licensing	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/corelibraries.licensing/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CORLIC-48/artifact				Done	Done
122			IOSP.REST	CS	http://bitbucket.cssrd.local/projects/CS/repos/iosp.rest/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-HAD-16/artifact	MASTER		Released from master branch	Done	Done
123			LibMp3Lame	Third Party Wrappers	http://bitbucket.cssrd.local/projects/TPW/repos/libmp3lame/browse		NuGet packages for 3rd party components	http://bamboo.cssrd.local/browse/NPF3P-LIBMP31-1/artifact	release-3.99		release 3.99.7 we are using in AF. But this build is not available in Bamboo	Done	Done
124			NiceTradingRecording.Configuration.Interface	CS Media Sources	http://bitbucket.cssrd.local/projects/CSMS/repos/nicetradingrecording.configuration.interface/browse		Communication Surveillance Media Sources	http://bamboo.cssrd.local/browse/CSMS-MNCI-21/artifact	MASTER	release-2.0		Done	Done
125			CoreLibraries.Wcf	Essentials	http://bitbucket.cssrd.local/projects/ESS/repos/corelibraries.wcf/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CORWCF-16/artifact	release-1.1			Done	Done
126			SystemOverview.Authentication.Fusion	SystemOverview	http://bitbucket.cssrd.local/projects/SYS/repos/systemoverview.authentication.fusion/browse		SystemOverview	http://bamboo.cssrd.local/browse/SYSOVW-SYSOAF-13/artifact	MASTER	release-1.2		Done	Done
127			SystemOverview.Compass.Channels.Plugin	SystemOverview	http://bitbucket.cssrd.local/projects/SYS/repos/systemoverview.compass.channels.plugin/browse		SystemOverview	http://bamboo.cssrd.local/browse/SYSOVW-SYSCCP-8/artifact	REL-v1.2.0			Done	
128			SystemOverview.Webservice	SystemOverview	http://bitbucket.cssrd.local/projects/SYS/repos/systemoverview.webservice/browse		SystemOverview	http://bamboo.cssrd.local/browse/SYSOVW-SYSWSV4-1/artifact	release-1.3.0			Done	
129			SystemOverview.Installer	SystemOverview	http://bitbucket.cssrd.local/projects/SYS/repos/systemoverview.installer/browse		SystemOverview	http://bamboo.cssrd.local/browse/SYSOVW-SYSINS-42/artifact	MASTER	release-1.8.0		Done	
130	Not Found		CS -Deployment scrips	CS	http://bitbucket.cssrd.local/projects/CS/repos/cs-deployment-scripts/browse							NA	
131			NiceApplications.Playback	External	http://bitbucket.cssrd.local/projects/EX/repos/niceapplications.playback/browse		NTR	http://bamboo.cssrd.local/browse/NTR-NMF-11/artifact	release-1.1.0			Done	
132			CoreLibraries.SQL.MySQL	CoreLibraries	http://bitbucket.cssrd.local/projects/COR/repos/corelibraries.sql.mysql/browse		CoreLibraries	http://bamboo.cssrd.local/browse/COR-CSM-46/artifact	master			Done	
133			Monitoring.Client	CS	http://bitbucket.cssrd.local/projects/CS/repos/monitoring.client/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-MC1-2/artifact	master			Done	
134			Observe.REST	CS	http://bitbucket.cssrd.local/projects/CS/repos/observe.rest/browse		Communication Surveillance	http://bamboo.cssrd.local/browse/CS-OB-5/artifact	master			Done	
